Plan,Documentos,Frecuencia,Stripe Price ID
basico,100,monthly,price_1TlPfUBnbfHLJ2lEWjwGUBiK
basico,100,yearly,price_1TlPk5BnbfHLJ2lESeaKzqge
basico,200,monthly,price_1TlQ9TBnbfHLJ2lEqs4Qy9ZS
basico,200,yearly,price_1TlQ9vBnbfHLJ2lEKkAxuS8B
basico,400,monthly,price_1TlQBfBnbfHLJ2lETQfAMrpB
basico,400,yearly,price_1TlQCDBnbfHLJ2lEKNAReuBs
basico,800,monthly,price_1TlQD4BnbfHLJ2lEqzD57ONi
basico,800,yearly,price_1TlQDhBnbfHLJ2lE3AJz8WCX
basico,1500,monthly,price_1TlQE9BnbfHLJ2lEmN4G6Q2U
basico,1500,yearly,price_1TlQGZBnbfHLJ2lEPErw8uBw
basico,3000,monthly,price_1TlQH5BnbfHLJ2lEAuV1F3D5
basico,3000,yearly,price_1TlQHYBnbfHLJ2lEYUu7FITj
pro,100,monthly,price_1TlQLVBnbfHLJ2lECa1hzK42
pro,100,yearly,price_1TlQZ3BnbfHLJ2lEIbeszacR
pro,200,monthly,price_1TlQZdBnbfHLJ2lEMeZuoH5S
pro,200,yearly,price_1TlQaVBnbfHLJ2lElFx2r96F
pro,400,monthly,price_1TlQcBBnbfHLJ2lEmiT6EWFN
pro,400,yearly,price_1TlQebBnbfHLJ2lEwjvaThmJ
pro,800,monthly,price_1TlQfaBnbfHLJ2lEVqXCIawX
pro,800,yearly,price_1TlQg6BnbfHLJ2lEG5H6LVdi
pro,1500,monthly,price_1TlQgkBnbfHLJ2lErZM4HxAa
pro,1500,yearly,price_1TlQhjBnbfHLJ2lEzm6d750L
pro,3000,monthly,price_1TlQiTBnbfHLJ2lE0jsD5a1P
pro,3000,yearly,price_1TlQjHBnbfHLJ2lEdYL1m1Iy
pro,5000,monthly,price_1TlQkQBnbfHLJ2lEAt00HAHi
pro,5000,yearly,price_1TlQkyBnbfHLJ2lEIQ9Jp7A5
pro,7500,monthly,price_1TlQmQBnbfHLJ2lEK1IyO254
pro,7500,yearly,price_1TlQnGBnbfHLJ2lEefKLrRzM
pro,10000,monthly,price_1TlQnxBnbfHLJ2lEVP0tciPo
pro,10000,yearly,price_1TlQp4BnbfHLJ2lEc4pku0pQ
extra,basico,one_time,price_1TlR3YBnbfHLJ2lEAFuhwkMf
extra,pro,one_time,price_1TlR3YBnbfHLJ2lEbtA56tyK
